OBJECTID,plz,einwohner,SHAPE_Length,SHAPE_Area
5269,24119,11601,22211.4480410834,15675441.1670542
5270,24159,19917,42206.8050978547,56528046.416942
5271,24118,11955,12212.9330264996,9058805.46467116
5272,24105,19856,13400.8801259848,9452859.16665904
5273,24116,11916,13031.3132889449,7265372.42400566
5274,26935,4656,75378.7024999304,115414696.066161
5275,26936,1490,46207.3125734742,103326037.556607
5276,26937,1519,54703.7841527502,86712239.1178339
5277,26725,19258,56532.209473811,130246738.924434
5278,26721,16695,30688.7166635548,23897575.7882867
5279,26723,13881,71404.9577864387,157693778.852768
5280,37214,1277,34789.2508182796,40816714.4895477
5281,34355,8036,101666.312407556,200508589.725448
5282,37213,6627,41796.1645010037,47203908.9380114
5283,37216,1237,111830.873322938,167411541.492864
5284,37217,3059,67636.194651587,112434938.273015
5285,37215,1818,43723.3113254433,52813539.3937917
5286,37218,1028,33542.7595896764,34663829.8883385
5287,26556,5467,62841.2701660204,127630161.577816
5288,26605,15139,112633.675389696,217387614.042905
5289,26607,11804,105589.002545135,318519339.754829
5290,26603,13928,26535.7482884948,20490738.4228168
5291,56814,7241,179935.495099377,219777175.132173
5292,56858,5048,179674.839680682,242412068.257461
5293,56829,886,30019.39686781,40140834.7819935
5294,56850,1965,70257.6245323538,109954665.047205
5295,56826,1789,58858.3926742476,72199104.3105269
5296,56867,948,45445.2365136673,40565727.3989808
5297,56818,1308,31784.3514115842,37840234.2298142
5298,56859,2397,41216.6174011032,30161453.2216326
5299,56841,5801,65870.7133107495,75620259.5056532
5300,56823,1144,27773.7644725035,30931584.9609516
5301,56864,1011,31660.0297801767,23337263.6794897
5302,56812,6384,67154.0106976399,76764883.8766514
5303,56856,4102,54149.5592036012,85577821.8983756
5304,60323,8529,10648.7075338965,4019255.52508235
5305,56828,844,28701.1369026008,32998132.4068106
5306,56869,1044,29648.730891303,28802343.9253248
5307,56820,1336,39502.097361773,51045031.1256192
5308,56861,1074,38285.2710672194,29392211.6534697
5309,56843,1862,72615.3609172192,75920542.2619467
5310,56825,2252,76325.4929296274,108542619.77084
5311,56865,3097,52420.9450941325,59213424.7926842
5312,34127,22408,23376.26901853,19560300.3379606
5313,34134,17734,28738.8859902936,28088196.4140795
5314,34132,16475,34386.9093230922,36465448.7956018
5315,34131,13192,34429.136355357,42164042.2958607
5316,61449,10058,24511.8679773846,10791008.5953745
5317,34128,17801,36482.5615740615,39578645.9986954
5318,34125,24456,38123.0636840848,30556678.1229716
5319,61209,5598,50523.1628910986,87540541.4996274
5320,34233,11870,70666.724397167,82608951.8750656
5321,34123,22893,37078.2305107176,41264225.2258907
5322,34369,15183,178889.745701594,566869184.246537
5323,65203,21160,26157.3269619607,22897888.3804153
5324,65197,29776,22997.6765090433,10200019.8040123
5325,65199,22952,42552.8074189468,45560804.8972293
5326,65193,15547,31812.6553242746,38862078.5929821
5327,65207,20756,69512.6054841096,134763200.780203
5328,65187,22300,23799.6899004976,12966340.5150588
5329,65205,22331,47188.2408146477,73685064.4974055
5330,65201,15793,38727.2502361789,48449273.0852352
5331,65195,17445,37307.8013113757,29077359.0426888
5332,65191,17338,19278.5972275446,14853551.20985
5333,65189,11223,18753.2716468555,13784958.0473385
5334,65185,13066,10125.7197573865,3010551.53528459
5335,64750,6867,54740.9620830517,84888895.0883622
5336,64395,5164,44893.2665102453,55610219.5895314
5337,64756,2579,57614.9031053786,115562016.925023
5338,64689,3805,35939.6513968985,54296760.5686732
5339,64668,8545,59175.1788139971,54902259.9076538
5340,64385,8576,64456.2933258624,139147228.568212
5341,64754,22,16435.286274231,5589177.45325644
5342,64686,7155,47100.2769158174,73212738.54663
5343,64739,9945,52608.6784568019,73761831.0994154
5344,64720,16394,120592.767745279,207778480.409125
5345,64646,24878,63818.293062016,125795375.451901
5346,64678,5063,41234.587152787,50445173.4651076
5347,64753,3603,37138.2201756968,49014293.9113897
5348,64407,3192,31868.4639393757,38331210.6424142
5349,64732,9325,82619.3734813845,111821959.205391
5350,64711,13293,66497.6001893067,146699075.735511
5351,64747,7334,60409.4867354009,72661241.6204889
5352,64625,39242,76068.3293761277,137396622.758928
5353,64673,6595,24136.0323894848,13526781.8968527
5354,64658,10518,67720.0100170331,91660782.7304229
5355,64405,2657,29256.2021375618,31760729.1654239
5356,64347,25498,35520.1566770921,51557517.665144
5357,64807,14597,35274.652775384,55905558.9434441
5358,64390,7478,25415.5368674077,17845981.1638821
5359,64850,9040,58782.1154987165,77159350.1874009
5360,64401,4582,42269.4113183446,43831916.3805346
5361,64285,17666,21963.7315212818,14972782.1749205
5362,64546,32383,62196.9804572399,106598248.845158
5363,64295,16687,33053.1487890428,37332762.2965876
5364,64839,14023,45933.4415906343,50185107.3260151
5365,64572,13592,44230.2012127774,73086389.8839967
5366,64331,23627,49577.5485521876,82778441.6316815
5367,64372,14444,55930.982215316,99838852.1305936
5368,64291,22655,47892.6502439423,78933010.4294887
5369,64409,3762,33258.3381013703,35771450.630191
